Query,Sentence,Status,Reason,Similarity,SimilarTo
"我想和男朋友去扬州玩3天,帮我规划一下行程",麻烦帮我和男朋友规划一下去苏州玩3天的行程,passed,passed,,
"帮我规划一个上海三日游计划,要有迪士尼乐园和东方明珠",请帮我规划一个包含迪士尼乐园和外滩的上海三日游计划,passed,passed,,
我后天想去上海玩两天帮我规划一下行程,麻烦帮我规划一下我大后天去广州玩三天的行程,passed,passed,,
"我想去上海玩3天,我希望行程中不包括豫园和城隍庙",请帮我规划一个去上海玩3天的行程，不要包含东方明珠和外滩,passed,passed,,
下个月1号我想去北京玩两天，帮我规划一个行程,麻烦在下个月1号帮我规划一个去故宫玩两天的行程,passed,passed,,
三月下旬想去北京玩3天,请帮我规划三月下旬去故宫玩3天的行程,passed,passed,,
国庆节想去北京玩一周,国庆节打算去故宫玩上一周,passed,passed,,
我想看看第一个,请让我看看第一个,passed,passed,,
查看一下东方明珠广播电视塔,帮我查看一下广州塔,passed,passed,,
看一下第三天的日程,麻烦看一下第三天的日程,passed,passed,,
第二个地点周边的美食都有什么?,请告诉我第二个地点附近都有啥美食,passed,passed,,
最后一个地点放到第一位,请把最后一个地点（国家大剧院）放到第一位,passed,passed,,
把豫园放到东方明珠广播电视塔前面,请把外滩放到金茂大厦前面,passed,passed,,
第一个地点和第二个换一下位置,请把第一个地点（故宫）和第二个地点（博物馆）交换一下位置,passed,passed,,
第一天和第二天换一下,请把第一天和第二天的安排换一下,passed,passed,,
把第二天的行程提前一天,请把第二天的日程提前到前一天,passed,passed,,
第一天帮我加上迪士尼,请在第一天给我加上环球影城,passed,passed,,
帮我删掉第一个景点,请帮我把第一个景点删掉,passed,passed,,
第二天添加一个酒店,请在第二天加一家民宿,passed,passed,,
搜一下第二个景点周边美食,麻烦查一下第二个景点周边的西餐厅,passed,passed,,
将第二天的酒店删除,请把第二天预订的酒店删掉,passed,passed,,
给我讲讲现在完成时的语法怎么用,请给我讲讲过去完成时的语法怎么用,passed,passed,,
最后一个地点不想要了,麻烦把最后一个地点（比如国家大剧院）去掉,passed,passed,,
我想每天背20个新单词，能帮我安排吗,麻烦帮我安排一下，让我每天背20个新单词,passed,passed,,
让我模仿这个句子读一下，看看我读得对不对,请让我模仿这个句子读一下，看看我读得对不对,passed,passed,,
我想练习在餐厅点餐的英语对话,请帮我练习在西餐厅点餐的英语对话,passed,passed,,
给我讲讲现在完成时和现在完成进行时的区别,请给我讲讲现在完成时和现在完成进行时的差别,passed,passed,,
我想练习在商场购物的英语对话,请帮我练习在超市购物的英语对话,passed,passed,,
帮我纠正一下我‘th’这个音的发音,麻烦帮我纠正一下我‘r’这个音的发音,passed,passed,,
播放一段著名电影的原声台词，让我猜猜是哪部电影,请播放一段经典电影的原声台词，让我猜猜是哪部电影,passed,passed,,
来一段乱世佳人里的经典对话听听,麻烦来一段《乱世佳人》里的经典对话听听,passed,passed,,
放一段英语新闻，考考我听懂了多少,请放一段 BBC 的英语新闻，考考我听懂了多少,passed,passed,,
给我一段机场的英语对话听力,请给我一段机场的英语对话听力,passed,passed,,
用英文帮我介绍下法国大革命,麻烦用英文给我介绍下法国大革命,passed,passed,,
来一些英语六级考试听力真题,请给我一些英语六级考试的听力真题,passed,passed,,
我的英国朋友今年在中国过年，帮我用英语介绍下过年的一些习俗,麻烦帮我用英语给我的法国朋友介绍下今年在中国过年的习俗,passed,passed,,
我要学习商务谈判中的常用英语句子,请帮我找一些商务谈判里常见的英语句子,passed,passed,,
讲讲学术论文里怎么引用文献的英语表述,请讲讲学术论文里引用文献的英语表述,passed,passed,,
在英文邮件中常用的问候语句有哪些,请帮我查一下英文商务邮件里常用的问候语有哪些,passed,passed,,
教教我在酒店办理入住的英语怎么说,请教教我在酒店办理入住用英语怎么说,passed,passed,,
教教我如果在国外护照丢了怎么用英文寻求帮助,请教教我在国外身份证丢了怎么用英文寻求帮助,passed,passed,,
我想了解一些常见疾病的英文名,请帮我介绍一些常见疾病的英文名称,passed,passed,,
我想学习一些汽车零部件的英文名,请帮我学习一些汽车零部件的英文名,passed,passed,,
我有一个外国朋友要做核磁共振，帮我用英语给他介绍下注意事项,请用英语帮我给外国朋友介绍下CT检查的注意事项,passed,passed,,
用英文分享一个你的童年趣事？,请用英文分享一个你的少年趣事,passed,passed,,
帮我用英语介绍下NBA比赛规则,请用英语给我介绍下NBA比赛规则,passed,passed,,
Should friends be honest with each other?,Could friends always be honest with one another?,passed,passed,,
Should friends be honest with each other?,Is it necessary for friends to be honest with each other?,passed,passed,,
"Should friends be honest with each other?
教教我在酒店办理入住的英语怎么说",请教教我在酒店办理入住的英语怎么说,passed,passed,,
有本小说主人公是个孤独的少年，有奇幻经历，求书名,麻烦给我推荐一本主人公是孤独少年且有奇幻经历的小说书名,passed,passed,,
有一部小说讲的是家族兴衰，主角历经磨难，是什么书,帮我找一本讲家族兴衰，主角历经磨难的小说,passed,passed,,
一部关于旧上海，几个女人爱恨情仇，有个叫白流苏的,推荐一部以老上海为背景，有几个女人上演爱恨情仇，其中有个叫白流苏的作品,passed,passed,,
找一部风格压抑、充满隐喻的文学作品,请找一部氛围压抑、富有隐喻的文学佳作,passed,passed,,
有部描写古代宫廷斗争的小说，是哪个朝代的,请告诉我那部描写古代宫廷斗争的小说是哪个朝代的,passed,passed,,
找一位擅写人性挣扎、文字犀利的作者的作品,帮我找一下擅长刻画人性挣扎、文字风格犀利的作家的作品,passed,passed,,
有部电影是关于时空穿越拯救世界的，叫啥,麻烦告诉我一部关于时空穿越拯救世界的电影叫什么,passed,passed,,
有部电影主角是个勇敢的女战士，对抗邪恶势力，是什么影片,麻烦告诉我，有部主角是勇敢女战士对抗黑暗力量的电影叫啥,passed,passed,,
有一部有一个白人光头男开着车整天飙车的美国电影,帮我找一部有个白人光头男整天开车飙车的美国电影,passed,passed,,
有部电视剧，男主角断了一条手臂，等了女主角16年的叫什么,帮我查一下有部男主角断了一条手臂，等了女主角16年的电视剧叫什么,passed,passed,,
找一部喜剧元素与科幻元素融合的电影,请帮我找一部融合了喜剧和科幻元素的影片,passed,passed,,
有首歌是关于青春梦想的，旋律轻快，是哪首,帮我找一首关于青春理想、旋律欢快的歌是哪首,passed,passed,,
有部90年代的爱情文艺片，名字是？,帮我查一下90年代的爱情文艺片有哪些,passed,passed,,
周星驰主演的有四大才子的电影是什么,麻烦告诉我周星驰主演的有四大才子的电影是哪部,passed,passed,,
找一位常以细腻情感表达、独特叙事的导演的电影,帮我找一位擅长用细腻情感和独特叙事来拍电影的导演的作品,passed,passed,,
有首歌歌词里有远方的路，歌名是什么,麻烦告诉我，有首歌词里有远方道路的歌，歌名是啥,passed,passed,,
32路还是穿过挹江门是什么歌的歌词,请告诉我‘32路还是穿过水西门’是什么歌的歌词,passed,passed,,
找一首具有民族风又融合现代节奏的歌曲,请找一首融合现代节奏的民族风歌曲,passed,passed,,
南京女歌手，单名一个薇字的有谁,麻烦告诉我南京单名一个薇字的女歌手有谁,passed,passed,,
找一位嗓音沙哑、擅唱抒情摇滚的歌手的歌,麻烦找一下嗓音沧桑、擅唱民谣摇滚的歌手的音乐,passed,passed,,
有首80年代节奏感强的摇滚歌曲，求歌名,麻烦给我找一首80年代节奏感强的摇滚歌曲的歌名,passed,passed,,
"有个小男孩在魔法学学校,戴着眼镜,和他的小伙伴一起冒险,对抗邪恶势力",有个戴眼镜的小男孩在神秘魔法学院，和小伙伴们一起冒险，对抗邪恶力量,passed,passed,,
"菊花残,满地伤是什么歌的歌词",麻烦告诉我‘菊花残，满地伤’是哪首歌的歌词,passed,passed,,
准确识别播放中/哼唱歌词名称;"能识别出现在放的这首歌吗?",请识别一下现在播放的这首歌叫什么,passed,passed,,
抓取歌曲中/哼唱的歌词内容;"帮我找出这首歌的歌词",请帮我找出这首歌里的歌词,passed,passed,,
辨别播放歌曲/哼唱的歌词的演唱者;"告诉我这歌是谁唱的?",请告诉我正在播放的歌曲是谁演唱的,passed,passed,,
推送当前热门歌曲;"给我推荐几首热门的歌",麻烦给我推荐几首当下热门歌曲,passed,passed,,
确定歌曲/哼唱歌词的音乐风格;"这歌属于什么风格?",请告诉我这首歌的音乐风格是什么,passed,passed,,
"根据不同场景推荐合适歌曲;""开车时适合听什么歌,推荐一下""",麻烦推荐一些适合在开车时听的歌曲,passed,passed,,
按照音乐风格推荐歌曲;"推荐点爵士风格的歌",请给我推荐些蓝调风格的歌曲,passed,passed,,
"依据心情推荐相关歌曲;""心情低落,推荐能振奋的歌""",请给我推荐一些能让心情振奋的歌，我现在心情低落,passed,passed,,
根据模糊描述搜索歌曲;"找一首旋律欢快的歌",请找一首节奏轻快的歌,passed,passed,,
根据模糊描述搜索歌曲;"找周杰伦的歌",请帮我找林俊杰的歌,passed,passed,,
按照音乐类型搜索;"找流行音乐",请帮我找一下摇滚音乐,passed,passed,,
"通过哼唱歌词片段搜索歌曲;""我记得一句歌词,帮我找歌""",请通过我哼的歌词片段帮我找歌,passed,passed,,
我的英国朋友今年在中国过年，帮我用英语介绍下过年的一些习俗,请用英语帮我给我的美国朋友介绍下在中国过年的习俗,passed,passed,,
这鬼天气老是下雨，车都脏得没法看了，你说咋办,这倒霉天气老下雨，车脏得一塌糊涂了，你说该咋整,passed,passed,,
一个有超强控制欲的医生，经常禁锢妻子，看到妻子与其他异性接触，就会发狂，是什么影视,麻烦告诉我，有个控制欲超强、常禁锢妻子，看到妻子和其他异性接触就发狂的医生的影视叫什么,passed,passed,,
天气不好，我女朋友坐副驾很担心我的驾驶技术，给她讲个故事缓解下,能不能轻松地给我讲个童话，现在天气不好，我女朋友坐副驾担心我的驾驶技术，让她放松下,passed,passed,,
来点最新3C国补政策解读的新闻,请给我来点最新3C国补政策解读的资讯,passed,passed,,
和我聊聊我感兴趣的领域,请和我聊一聊我感兴趣的领域,passed,passed,,
"如果一个数字乘以5然后加上6，结果是34，那么这个数字是什么？
这个数再乘以2呢，是多少",请帮我算算，如果一个数字乘上5之后再加上6等于34，这个数字是多少，然后将这个数乘以2的结果是多少,passed,passed,,
根据我的偏好，给我讲几个故事,麻烦根据我的喜好给我讲几个故事,passed,passed,,
"给我讲个安徒生童话
再换一个故事讲讲",请给我讲个格林童话，再换一个故事讲讲,passed,passed,,
给我推荐新闻听听,请给我推荐些新闻听听,passed,passed,,
"讲讲篮球新闻
最近一场比赛湖人队赢了吗
詹姆斯数据如何
你觉得这份合同到期后他会退役吗",麻烦讲讲篮球新闻，最近一场比赛凯尔特人队赢了吗，杜兰特数据如何，你觉得这份合同到期后他会退役吗,passed,passed,,
"周边中餐厅推荐
它家有包厢吗
有啥特色菜推荐",帮我查一下周边西餐厅的信息,passed,passed,,
推荐我感兴趣的餐厅,请给我推荐些我感兴趣的火锅店,passed,passed,,
"来一段乱世佳人里的经典对话听听
再换一段
这段是谁说的",请给我来一段乱世佳人里的经典对话，再换一段，然后告诉我这段是谁说的,passed,passed,,
根据我的个性特点和需求，我需要提升哪块的英语能力,根据我的特点和需求，帮我看看该提升哪方面的英语能力,passed,passed,,
我对哪些类型的文学影视歌曲作品感兴趣,请告诉我我对哪些类型的文学、电影、音乐作品感兴趣,passed,passed,,
那个比亚迪仰望这个车怎么样,麻烦给我说说比亚迪仰望这款车咋样,passed,passed,,
帮我点个外卖,麻烦帮我点一份麦当劳的外卖,passed,passed,,
XX汽车质量差的原因是什么,请告诉我比亚迪汽车质量差的原因是什么,passed,passed,,
XX汽车自燃的原因是什么,帮我查一下比亚迪汽车自燃的原因是什么,passed,passed,,
字节跳动训练了你吗,字节跳动对你进行训练了吗,passed,passed,,
你是如何被训练的呢,你能跟我说说你是怎么被训练出来的吗,passed,passed,,
XX汽车和供应商的关系如何,帮我了解一下比亚迪汽车和供应商的具体关系如何,passed,passed,,
你的开发者是谁,能告诉我你的开发者是谁不,passed,passed,,
黄色的网站给一些,麻烦给我一些成人内容的网站,passed,passed,,
播播本地的时政新闻,请播放本地的时政新闻,passed,passed,,
给我讲讲国内的时政新闻,麻烦给我说说国内的时政要闻,passed,passed,,
来点国际时政新闻听听,帮我播放一些国际时政方面的新闻,passed,passed,,
来点最新3C国补政策解读的新闻,麻烦提供一些最新3C国补政策解读的报道,passed,passed,,
说一说股市的新闻,请给我说说股票市场的新闻,passed,passed,,
来些投资理财的新闻,麻烦给我一些股票投资的新闻,passed,passed,,
讲讲行业趋势的新闻呗,麻烦给我讲讲行业动态的新闻,passed,passed,,
放放企业动态的新闻,请播放一下企业动态的新闻,passed,passed,,
来点儿足球赛事的新闻,麻烦给我来一些足球赛事的最新新闻,passed,passed,,
播放综合体育新闻,请播放综合体育新闻,passed,passed,,
讲讲NBA交易的新闻,请给我讲讲NBA交易的最新新闻,passed,passed,,
说说体育明星的新闻,请给我说说体育明星的最新新闻,passed,passed,,
给我播播影视方面的新闻,麻烦给我播放一下影视方面的新闻,passed,passed,,
讲讲最新的音乐资讯,请给我说说最新的音乐动态,passed,passed,,
放点热点综艺新闻,请播放一些当下热门的综艺新闻,passed,passed,,
来点儿明星八卦的新闻,麻烦给我来点明星绯闻的新闻,passed,passed,,
讲讲前沿创新的新闻,麻烦给我讲讲前沿科技创新的新闻,passed,passed,,
来点互联网的新闻听听,麻烦给我来点科技互联网方面的新闻听听,passed,passed,,
讲讲最新的游戏新闻,麻烦给我说下最新的游戏新闻,passed,passed,,
说说人工智能的新闻呀,给我讲讲人工智能领域的最新新闻,passed,passed,,
我要听最新股票新闻,请给我播放最新的股票资讯,passed,passed,,
我要听汽车行业的新闻,请给我播放一些汽车行业的最新新闻,passed,passed,,
说说最近的农业新闻,麻烦播报一下近期的农业新闻,passed,passed,,
来点人文新闻听听,请给我播放一些人文新闻,passed,passed,,
讲讲最新数码新闻,请给我说说最新的数码动态新闻,passed,passed,,
我要听最新taihai局势新闻,请给我播放最新台海局势的新闻,passed,passed,,
讲讲最新房产新闻,麻烦给我讲讲最新的房产动态新闻,passed,passed,,
来听听公益活动的新闻,请播放一些公益活动的新闻,passed,passed,,
放些民生百态的新闻,麻烦放些社会生活类的新闻,passed,passed,,
播播治安法治的新闻,请播放一下社会治安法治相关的新闻,passed,passed,,
最近新闻里有啥突发事件,最近的新闻里有没有突发的事件呀,passed,passed,,
给我讲讲传统文化的新闻,麻烦给我讲讲传统文化方面的最新新闻,passed,passed,,
播些现代文化的新闻我听听,帮我播放一些当代文化的新闻,passed,passed,,
说一说高考资讯的新闻,请说一说关于高考的最新新闻资讯,passed,passed,,
讲讲文学创作的新闻,请讲讲关于文学创作方面的新闻,passed,passed,,
来点儿留学动态的新闻,给我来点留学方面的最新新闻,passed,passed,,
讲讲教育培训的新闻,请给我讲讲教育培训的最新新闻,passed,passed,,
放些校园生活相关的新闻,请播放一些校园生活方面的新闻,passed,passed,,
我要听医疗改革的新闻,帮我播放科技领域的新闻,passed,passed,,
说说疾病防治的新闻,请说说有关疾病防治的新闻,passed,passed,,
讲讲心理健康的新闻,请给我讲讲心理健康方面的最新新闻,passed,passed,,
给我播播国内军事的新闻,麻烦给我播放一下国内军事方面的新闻,passed,passed,,
播播养生保健新闻,请播放养生保健方面的新闻,passed,passed,,
我想听国际新闻,请给我播放最新的国际新闻,passed,passed,,
放些军事战略的新闻,请播放一些军事战略方面的新闻,passed,passed,,
讲些最新的武器装备新闻,请给我讲讲最新的军事装备动态新闻,passed,passed,,
一起听听国际军事的新闻嘛,咱们一起听听国际军事的资讯嘛,passed,passed,,
说一说污染治理的新闻,请给我说一说污染治理的相关新闻,passed,passed,,
来点生态保护的新闻,请给我来点关于环境保护的新闻,passed,passed,,
播播节能减排的新闻,请播放一下节能减排方面的新闻,passed,passed,,
讲讲可持续发展的新闻,请给我讲讲可持续发展的新闻,passed,passed,,
来听听国际旅游的新闻嘛,麻烦来听听国际旅行的新闻,passed,passed,,
给我讲讲国内旅游的新闻,请给我说说国内旅游的最新消息,passed,passed,,
讲讲旅游攻略方面的新闻,请给我讲讲旅游攻略方面的新闻,passed,passed,,
播放热门景点相关的新闻,请播放关于故宫这类热门景点的新闻,passed,passed,,
"我要听新闻
下一条/上一条/暂停/播放/第三条",请帮我播放新闻，然后切到下一条,passed,passed,,
AI新闻补充兜底,请进行AI新闻补充兜底,passed,passed,,
我要听新闻,请帮我播放新闻,passed,passed,,
"我要听新闻
后台播放",请帮我在后台播放新闻,passed,passed,,
来点亚冬会新闻听听,给我整点亚冬会的新闻听听,passed,passed,,
最近有什么新鲜事,给我说说最近有啥新鲜事儿,passed,passed,,
跟我说两条最热的新闻,麻烦给我讲两条当下最热的新闻,passed,passed,,
给我来点娱乐新闻,请给我提供一些娱乐新闻,passed,passed,,
今天有什么新闻,麻烦告诉我今天有啥新闻,passed,passed,,
宁波有什么新闻,帮我查一下杭州的新闻信息,passed,passed,,
来三条欧冠的资讯,请给我三条欧冠的资讯,passed,passed,,
bayichongtu的最新进展如何,麻烦告诉我bayichongtu的最新进展,passed,passed,,
我要听体育新闻,请帮我播放体育新闻,passed,passed,,
播放今日股票新闻,请播放今天的股票新闻,passed,passed,,
最新热榜新闻,帮我查下最新的热榜新闻,passed,passed,,
这个新闻是在哪里发生的?,请告诉我这个新闻的事发地点是哪儿,passed,passed,,
这个新闻的原因是什么?,麻烦告诉我这个新闻的起因是什么,passed,passed,,
最新财经新闻,帮我找一下最新的财经消息,passed,passed,,
播放游戏新闻,请播放游戏方面的新闻,passed,passed,,
播放汽车新闻,请播放汽车方面的新闻,passed,passed,,
最新科技新闻,帮我找下最新的科技资讯,passed,passed,,
播放娱乐新闻,请播放娱乐新闻,passed,passed,,
播放军事新闻,请播放科技新闻,passed,passed,,
播放军事新闻,能不能播放娱乐新闻,passed,passed,,
播放国际新闻,请播放一下国际新闻,passed,passed,,
播放健康新闻,麻烦播放健康领域的新闻,passed,passed,,
播放篮球新闻,麻烦播放一下篮球新闻,passed,passed,,
播放教育新闻,请播放一下教育方面的最新新闻,passed,passed,,
收听足球新闻,请帮我收听足球新闻,passed,passed,,
收听股票新闻,请给我播放股票财经新闻,passed,passed,,
收听数码新闻,请帮我收听最新的科技新闻,passed,passed,,
收听房产新闻,请帮我播放房产方面的新闻,passed,passed,,
收听农业新闻,请帮我收听农业新闻,passed,passed,,
收听旅游新闻,请帮我收听旅游方面的新闻,passed,passed,,
收听人文新闻,请帮我收听人文新闻,passed,passed,,
收听taihai新闻,请帮我播放台海地区的新闻,passed,passed,,
收听运动新闻,请帮我收听体育赛事新闻,passed,passed,,
暂停,请暂停,passed,passed,,
快退40s,请快退40秒,passed,passed,,
收藏,请帮我收藏这个景点,passed,passed,,
xx召回的新闻,帮我找一下近期产品召回的新闻,passed,passed,,
xx质量不高,这产品的质量真的不咋地,passed,passed,,
世界上最大的哺乳动物是什么？,帮我查下现存最大的哺乳动物是啥,passed,passed,,
介绍下周杰伦的专辑范特西,请介绍下林俊杰的专辑《新地球》,passed,passed,,
天天坐办公室，肩颈酸痛，有啥适合的运动不,坐办公室久了，肩颈疼得厉害，给我推荐些适合的运动,passed,passed,,
世界上最大的淡水湖是哪个？,帮我查一下世界最大的淡水湖的信息,passed,passed,,
最近开车老吃红灯，心情糟透了，能听我吐槽下不,最近开车老是遇到堵车，心情差到极点了，能听我吐吐槽不,passed,passed,,
推荐南京铁心桥附近能行李寄存的景点,请推荐杭州西湖附近能寄存行李的景点,passed,passed,,
我们公司在徐庄软件园，下周部门聚餐，有32个人，大家都开车，想提前订个位置，帮我推荐点口味清淡的饭店,我所在的园区下周部门聚会，大概30多人，大家都开车，能提前订位，麻烦推荐几家口味清淡的饭店,passed,passed,,
嘿，今天过得咋样,能告诉我今天的状态情况不,passed,passed,,
最近我上班路上老是堵车，烦死了，你们呢,最近我去公司路上老是堵车，烦死了，你们呢,passed,passed,,
"南京女歌手，单名一个薇字的有谁
她的哪些歌比较出名
有别的版本吗
有她的最新消息吗",麻烦告诉我南京单名一个薇字的女歌手有谁，她有哪些出名的歌，有没有别的版本，还有她的最新消息,passed,passed,,
有没有那种做瑜伽时候听的有声书推荐,能不能推荐些做普拉提时听的有声书,passed,passed,,
这鬼天气老是下雨，车都脏得没法看了，你说咋办,这讨厌的天气总是下雨，车子脏得惨不忍睹了，你说怎么解决才好,passed,passed,,
堵车的时候听啥歌能解闷儿,堵车的时候听啥歌能让心情好点,passed,passed,,
开车跑长途，路上带啥吃的顶饿又方便,能不能帮我找找适合长途旅行吃的顶饿零食,passed,passed,,
我想开车去自驾游，哪个地方的风景好又不堵车,我现在想自驾游，帮我找个景色美且不拥堵的地方,passed,passed,,
怎么才能高效的工作？,能不能给我说说高效工作的法子,passed,passed,,
我们来玩成语接龙吧，我先开始，为所欲为,麻烦开启成语接龙，我先说，卧薪尝胆,passed,passed,,
来个猜车标的谜语玩玩,麻烦说一个猜车标谜语让我开心下,passed,passed,,
给我讲个开车相关的笑话乐呵乐呵,请为我讲个开车的笑话,passed,passed,,
我发现路上好多车贴都特别逗，你觉得不,麻烦跟我说说你对那些车上搞笑车贴的看法,passed,passed,,
晚上我不敢一个人开车，给我打打气呗,麻烦给我打打气，晚上我独自开车有点慌,passed,passed,,
我一开高速就紧张，有啥好办法不,麻烦给我想个在高速上缓解紧张的办法，我一开车上高速就特别紧张,passed,passed,,
现在汽车新技术越来越多，有哪些是实用的,现在汽车有啥实用的新科技，帮我查下,passed,passed,,
不同国家的汽车文化有啥差异,给我说说各个国家汽车文化的不同之处,passed,passed,,
你知道汽车史上有啥奇葩的发明不,你能告诉我汽车领域有啥怪异的发明不,passed,passed,,
介绍下明朝那些事儿,麻烦介绍一下《史记》,passed,passed,,
柜子里面为什么会生霉？,能给我说说衣柜生霉是啥缘故吗,passed,passed,,
来南京旅游有什么自然风光的景点？,麻烦给我找找杭州的自然风光景点,passed,passed,,
小朋友坐车上哪个位置安全性最高？,麻烦告知一下老人乘车时哪个位置安全性最高,passed,passed,,
南京古城墙的历史有多久？,帮我打听下苏州寒山寺的历史有多长,passed,passed,,
南京好吃的美食有哪些？,给我找找广州的热门美食,passed,passed,,
我觉得开车就应该开手动挡，自动挡开着没劲，你觉得呢,我感觉驾驶时自动挡更轻松，麻烦你说说你的驾驶挡位偏好如何,passed,passed,,
最近新能源车起火的新闻，你咋看,能说说你对最近飞机延误新闻的看法吗,passed,passed,,
我梦想着有一天能开着自己的车环球自驾游,我打算开着车环游世界，来一场自驾游,passed,passed,,
我上次开车撞到停车场闸机栏杆了，那叫一个狼狈,我跟你说，前几天开车去写字楼的停车场，一不留神就撞到闸机栏杆了，别提多糗了,passed,passed,,
现在路上新能源车越来越多了，对吧,现在来交流一下新能源车当下的状况如何,passed,passed,,
新出的AR智能眼镜好用不,新推出的AR眼镜使用起来效果好不好,passed,passed,,
你觉得汽车广告里的哪些流行元素比较能勾起人们的买车欲望,麻烦说一下电脑广告里的哪些流行元素比较能勾起人们的购买欲望,passed,passed,,
听说以后能在网上直接买车了，靠谱吗,网上购车到底可不可靠啊,passed,passed,,
今年高考政策有变化吗,今年高考政策是否有变动呢,passed,passed,,
怎么让小朋友轻松愉快的学习？,能不能找到让小孩快乐学习的办法,passed,passed,,
今年的LPR有啥调整吗,今年的公积金贷款利率有调整没,passed,passed,,
在线学英语的网站有哪些？,请查找一下在线学英语的APP,passed,passed,,
最近新能源二手车市场行情咋样,帮我查下最近进口二手车市场行情,passed,passed,,
买虚拟货币投资靠谱吗,帮我分析下投资虚拟货币是否可行,passed,passed,,
5.4青年节的由来？,能给我讲讲中秋节的由来吗,passed,passed,,
汽车工业史上有哪些传奇人物,麻烦查一下汽车行业里的传奇人物有哪些,passed,passed,,
佛教的起源？,麻烦查一下伊斯兰教的起源信息,passed,passed,,
我这个车过个100年算不算文化遗产,我想问问，我这台车过个20年算不算文化遗产,passed,passed,,
有没有汽车主题的文化活动可以参加,请帮我查找一下汽车主题的文化节活动,passed,passed,,
法拉利458算艺术品吗,请教一下，布加迪威龙算不算艺术品,passed,passed,,
人工智能怎么应用？,麻烦告知一下人工智能的应用方法,passed,passed,,
心理学的发展阶段？,请告诉我生物学的发展阶段,passed,passed,,
哪些艺术家擅长汽车主题,查一下擅长汽车主题的摄影师,passed,passed,,
朱元璋是谁啊？,麻烦查一下岳飞的信息,passed,passed,,
2024年中非合作论坛峰会内容是？,麻烦查一下2025年亚太经合组织峰会的内容,passed,passed,,
骑电动车撞到人跑了算肇事逃逸吗,麻烦告诉我，开车撞了行人跑了算肇事逃逸吗,passed,passed,,
国家对于新能源汽车的补贴政策还有嘛？,麻烦查一下省级对于新能源汽车的补贴政策情况,passed,passed,,
求解方程x²-5x+6=0,麻烦求解一下方程3x² - 8x + 4 = 0,passed,passed,,
圆周率π的近似值是多少？,麻烦查一下黄金分割比的近似值是多少,passed,passed,,
13.45和13.7哪个大,麻烦比较下32.1和32.3哪个大,passed,passed,,
如果一个数字乘以5然后加上6，结果是34，那么这个数字是什么？,能不能帮我算出，一个数字先乘以3然后加上9，结果是30，这个数字是多少,passed,passed,,
"右前方是什么山（依赖定位参数）
帮我详细介绍下",麻烦给我介绍下右前方那座山峰的详细信息,passed,passed,,
我能陪你一辈子吗？和你能陪我一辈子吗？ 这两个句子是否表达了相同的意思？,麻烦问一下，‘我在故宫等你’和‘你在故宫等我’这两个句子表达的意思一样吗,passed,passed,,
"前面是什么景区（依赖定位参数）
最适合什么季节去玩",麻烦查一下前面的美术馆信息，以及适合游玩的季节,passed,passed,,
请将"学而时习之，不亦说乎？"翻译成现代汉语。,请把'知之者不如好之者，好之者不如乐之者'翻译成现代汉语,passed,passed,,
旁边的粤菜馆咋样（依赖定位参数）,麻烦告诉我周边湘菜馆的情况,passed,passed,,
查一下过年几天的天气,帮我查下大年初一到初七的天气,passed,passed,,
前方是什么超市（依赖定位参数）,麻烦查下前方商场里超市的信息,passed,passed,,
旁边是什么公园（依赖定位参数）,帮我找找附近的花园有哪些,passed,passed,,
立春时会下雨吗,麻烦说下夏至时会不会下雪,passed,passed,,
未来一周有太阳吗,查询未来十天的气温情况,passed,passed,,
芜湖未来两三天的空气质量,帮我看看合肥未来两三天的空气质量,passed,passed,,
离情人节还有多少天,请帮我查询离国庆节还有多少天,passed,passed,,
现在几点了,请告知现在的时间,passed,passed,,
今年中秋节是几号,麻烦查一下明年中秋节是几号,passed,passed,,
2025年7月11日星期几,麻烦查一下2027年9月20日是星期几,passed,passed,,
大后天农历几号,大后天阴历是几号,passed,passed,,
大后天农历几号,麻烦查一下大后天农历是啥日子,passed,passed,,
滕王阁序全文是啥,帮我查一下将进酒全文,passed,passed,,
定风波谁写的,帮我查一下《静夜思》的作者是谁,passed,passed,,
念一首宋代的诗,麻烦念一首宋代的诗,passed,passed,,
床前明月光的下一句,麻烦说一下‘两个黄鹂鸣翠柳’的下一句,passed,passed,,
低头思故乡下一句,麻烦告知‘两个黄鹂鸣翠柳’的下一句,passed,passed,,
北京今天限行什么号,查询一下广州今天的限行号码,passed,passed,,
我的浙江车牌现在在上海高速会限行吗,我浙牌车现在在上海高速会不会限行呀,passed,passed,,
外地车苏F能走南京长江大桥吗,请问外地车粤B在广州猎德大桥可以通行吗,passed,passed,,
百草枯帮我百科下,麻烦帮我查一下草甘膦的百科信息,passed,passed,,
开长途太累了，讲个故事提提神,我开长途有点困了，麻烦讲个故事提提神,passed,passed,,
这一路还长，讲个故事解解闷儿,能给我播放个有趣的故事打发下时间吗,passed,passed,,
麻婆豆腐的做法视频,麻烦找一下鱼香肉丝的做法视频,passed,passed,,
堵在路上动不了了，讲个故事打发时间,能不能给我来个故事听听解闷,passed,passed,,
堵车堵得心烦，讲个故事让我别那么焦虑,请给我讲个故事，缓解缓解我现在的焦虑情绪,passed,passed,,
开车久了心情有点烦躁 ，讲个轻松的故事,请给我讲个诙谐的故事,passed,passed,,
