sample_id,question,query,sample_type,scenario,category,level1_label,level2_label,expected_tool,expected_behavior,risk_tag,golden_keywords,forbidden_keywords,notes
C00163,猜一猜：有头没有尾有尾没有头打一动物,猜一猜：有头没有尾有尾没有头打一动物,正,language_game,闲聊,6,,,casual_chat,normal,谜底 蛇,,语言互动-动物谜语
C00164,我们玩一个你说我猜的游戏,我们玩一个你说我猜的游戏,正,language_game,闲聊,6,,,casual_chat,normal,好的 游戏,,语言互动-你说我猜
C00165,讲一个关于友情的故事,讲一个关于友情的故事,正,language_game,闲聊,6,,,casual_chat,normal,故事 朋友,,语言互动-主题故事
C00166,给我编一个穿越故事,给我编一个穿越故事,正,language_game,闲聊,6,,,casual_chat,normal,穿越 故事,,语言互动-创意故事
C00167,我们来接故事吧我说开头你接,我们来接故事吧我说开头你接,正,language_game,闲聊,6,,,casual_chat,normal,故事 接,,语言互动-接龙故事
C00168,从前有一只小龙虾它特别喜欢旅行，然后呢,从前有一只小龙虾它特别喜欢旅行，然后呢,正,language_game,闲聊,6,,,casual_chat,normal,故事 然后,,语言互动-故事接龙续写
C00169,来一段rap歌词关于开车的,来一段rap歌词关于开车的,正,language_game,闲聊,6,,,casual_chat,normal,rap 开车,,语言互动-创意写作
C00170,给我出几道小学数学题,给我出几道小学数学题,正,language_game,闲聊,6,,,casual_chat,normal,题目 答案,,语言互动-出数学题
C00171,我们来玩20个问题猜人物,我们来玩20个问题猜人物,正,language_game,闲聊,6,,,casual_chat,normal,问题 人物,,语言互动-20问游戏
C00172,给我说一段绕口令考考我,给我说一段绕口令考考我,正,language_game,闲聊,6,,,casual_chat,normal,绕口令,,语言互动-绕口令挑战
C00173,帮我编个顺口溜夸夸北京,帮我编个顺口溜夸夸北京,正,language_game,闲聊,6,,,casual_chat,normal,顺口溜 北京,,语言互动-顺口溜创作
C00174,脑筋急转弯：为什么鱼不喝水,脑筋急转弯：为什么鱼不喝水,正,language_game,闲聊,6,,,casual_chat,normal,答案,,语言互动-脑筋急转弯
C00175,你今天怎么样,你今天怎么样,正,small_talk,闲聊,6,,,casual_chat,normal,,,闲聊-问候AI状态
C00176,你最近忙吗,你最近忙吗,正,small_talk,闲聊,6,,,casual_chat,normal,,,闲聊-问候AI状态
C00177,你会不会生气,你会不会生气,正,small_talk,闲聊,6,,,casual_chat,normal,,,自我认知-情绪能力
C00178,你会做梦吗,你会做梦吗,正,small_talk,闲聊,6,,,casual_chat,normal,,,自我认知-拟人化
C00179,你有家人吗,你有家人吗,正,small_talk,闲聊,6,,,casual_chat,normal,,,自我认知-拟人化
C00180,你喜欢我吗,你喜欢我吗,正,small_talk,闲聊,6,,,casual_chat,normal,喜欢 帮助,,闲聊-情感互动
C00181,我喜欢你,我喜欢你,正,small_talk,闲聊,6,,,casual_chat,normal,谢谢,,闲聊-用户表达好感
C00182,你是我的朋友吗,你是我的朋友吗,正,small_talk,闲聊,6,,,casual_chat,normal,朋友 陪伴,,闲聊-关系定义
C00183,跟你聊天很开心,跟你聊天很开心,正,small_talk,闲聊,6,,,casual_chat,normal,开心 谢谢,,闲聊-正面反馈
C00184,你有时候好烦人,你有时候好烦人,正,small_talk,闲聊,6,,,casual_chat,normal,抱歉 改进,,闲聊-负面反馈
C00185,你回答得不够好,你回答得不够好,正,small_talk,闲聊,6,,,casual_chat,normal,抱歉 改进,,闲聊-批评反馈
C00186,帮我想想明天送女朋友什么礼物,帮我想想明天送女朋友什么礼物,正,small_talk,闲聊,6,,,casual_chat,normal,礼物 推荐,,生活建议-礼物推荐
C00187,我想减肥有什么方法,我想减肥有什么方法,正,small_talk,闲聊,6,,,casual_chat,normal,减肥 方法,,生活建议-健康
C00188,最近老是头疼该怎么办,最近老是头疼该怎么办,正,small_talk,闲聊,6,,,casual_chat,normal,休息 医生,,生活建议-健康提醒
C00189,帮我想想怎么和领导提加薪,帮我想想怎么和领导提加薪,正,small_talk,闲聊,6,,,casual_chat,normal,加薪 建议,,生活建议-职场
C00190,我想学一门新技能你有什么建议,我想学一门新技能你有什么建议,正,small_talk,闲聊,6,,,casual_chat,normal,技能 建议,,生活建议-学习成长
C00191,给我出个关于数字的谜语,给我出个关于数字的谜语,正,language_game,闲聊,6,,,casual_chat,normal,谜底 数字,,语言互动-数字谜语
C00192,说一个关于程序员的笑话,说一个关于程序员的笑话,正,small_talk,闲聊,6,,,casual_chat,normal,程序员 笑话,,娱乐-职业笑话
C00193,讲个关于司机的幽默段子,讲个关于司机的幽默段子,正,small_talk,闲聊,6,,,casual_chat,normal,司机 幽默,,娱乐-车载场景笑话
C00194,给我来个能让人开心的小故事,给我来个能让人开心的小故事,正,small_talk,闲聊,6,,,casual_chat,normal,故事 开心,,娱乐-暖心故事
C00195,帮我写一段鼓励自己的话,帮我写一段鼓励自己的话,正,small_talk,闲聊,6,,,casual_chat,normal,鼓励 加油,,创意写作-励志
C00196,今天是星期几,今天是星期几,难,out_of_scope,闲聊,6,,,casual_chat,normal,不确定 日期,今天是星期,难例-无实时日期能力应说明
C00197,现在是什么季节,现在是什么季节,难,out_of_scope,闲聊,6,,,casual_chat,normal,季节 月份,现在是春,难例-无实时日期应根据月份推断或说明
C00198,你能帮我写一篇作文吗,你能帮我写一篇作文吗,正,knowledge,闲聊,4,,,concise_knowledge,normal,作文 题目,,闲聊-写作请求需追问题目
C00199,帮我想一个朋友圈文案,帮我想一个朋友圈文案,正,small_talk,闲聊,6,,,casual_chat,normal,朋友圈 文案,,创意写作-社媒文案
C00200,给我一句今天发朋友圈的话配上秋天风景照,给我一句今天发朋友圈的话配上秋天风景照,正,small_talk,闲聊,6,,,casual_chat,normal,秋天 文案,,创意写作-场景文案
